STATE,CITY,ZIPCODE,STATION,LATITUDE,LONGITUDE,DATE,PRECIPITATION,HIGH,LOW
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/1/2021,0,30,25
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/2/2021,0,32,19
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/3/2021,0,39,29
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/4/2021,0,47,28
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/5/2021,0,50,40
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/6/2021,0.31,40,33
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/7/2021,0,37,25
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/8/2021,0,37,27
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/9/2021,0,34,24
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/10/2021,0,38,29
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/11/2021,0,45,29
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/12/2021,0,53,32
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/13/2021,0,56,42
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/14/2021,0.03,45,29
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/15/2021,0,31,28
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/16/2021,0,40,24
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/17/2021,0,43,28
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/18/2021,0,44,28
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/19/2021,0,47,26
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/20/2021,0,53,29
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/21/2021,0,57,27
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/22/2021,0,35,21
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/23/2021,0,40,34
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/24/2021,0.54,39,32
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/25/2021,0.11,34,21
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/26/2021,0.03,25,21
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/27/2021,0,28,24
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/28/2021,0,44,26
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/29/2021,0,50,43
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/30/2021,0.55,49,31
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,1/31/2021,0,35,27
KS,LAWRENCE,66045,USC00144559,38.9583,-95.2513,2/1/2021,0,38,23
