Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,6/1/1997,1.51,1.71,1.38,1.54,1.54,53163600
AMZN,7/1/1997,1.54,2.57,1.51,2.40,2.40,108614400
AMZN,8/1/1997,2.34,2.42,1.94,2.34,2.34,31906800
AMZN,9/1/1997,2.34,4.81,2.31,4.34,4.34,107862000
AMZN,10/1/1997,4.44,5.50,3.52,5.08,5.08,105187200
AMZN,11/1/1997,5.22,5.22,3.67,4.13,4.13,67797600
AMZN,12/1/1997,4.24,5.04,4.14,5.02,5.02,64982400
AMZN,1/1/1998,5.00,5.34,4.15,4.92,4.92,112080000
AMZN,2/1/1998,4.95,6.64,4.77,6.42,6.42,130621200
AMZN,3/1/1998,6.32,7.35,5.83,7.13,7.13,206818800
AMZN,4/1/1998,7.10,8.33,6.43,7.65,7.65,354868800
AMZN,5/1/1998,7.73,7.99,6.65,7.34,7.34,174870000
AMZN,6/1/1998,7.33,17.46,6.88,16.63,16.63,583878600
AMZN,7/1/1998,16.97,24.50,15.71,18.48,18.48,663946800
AMZN,8/1/1998,18.29,22.92,13.85,13.96,13.96,440607600
AMZN,9/1/1998,12.69,20.00,10.83,18.60,18.60,677835600
AMZN,10/1/1998,18.00,21.64,13.33,21.07,21.07,504444600
AMZN,11/1/1998,21.35,38.85,20.13,32.00,32.00,651789600
AMZN,12/1/1998,30.92,60.31,30.33,53.54,53.54,724218000
AMZN,1/1/1999,54.61,99.56,46.28,58.47,58.47,646348800
AMZN,2/1/1999,58.88,65.00,42.13,64.06,64.06,318146000
AMZN,3/1/1999,63.50,89.00,57.00,86.09,86.09,331010000
AMZN,4/1/1999,89.69,110.63,75.50,86.03,86.03,363285400
AMZN,5/1/1999,83.44,83.53,52.25,59.38,59.38,303767800
AMZN,6/1/1999,55.75,64.75,44.88,62.56,62.56,364747400
AMZN,7/1/1999,62.63,71.25,48.75,50.03,50.03,388650400
AMZN,8/1/1999,49.19,67.78,41.00,62.19,62.19,459085800
AMZN,9/1/1999,63.50,85.00,57.38,79.94,79.94,321616800
AMZN,10/1/1999,77.00,90.00,65.88,70.63,70.63,254311500
AMZN,11/1/1999,68.06,96.88,61.00,85.06,85.06,281070200
AMZN,12/1/1999,87.25,113.00,76.00,76.13,76.13,246476100
AMZN,1/1/2000,81.50,91.50,58.44,64.56,64.56,262209000
AMZN,2/1/2000,67.50,85.94,63.06,68.88,68.88,207457700
AMZN,3/1/2000,67.63,75.25,60.00,67.00,67.00,156584600
AMZN,4/1/2000,65.44,68.63,40.81,55.19,55.19,162012500
AMZN,5/1/2000,56.00,62.38,40.44,48.31,48.31,130688600
AMZN,6/1/2000,48.88,58.13,32.47,36.31,36.31,203140900
AMZN,7/1/2000,36.69,43.94,27.88,30.13,30.13,198524600
AMZN,8/1/2000,30.63,43.97,29.31,41.50,41.50,144464700
AMZN,9/1/2000,42.13,49.63,35.50,38.44,38.44,133739700
AMZN,10/1/2000,38.19,38.44,19.38,36.63,36.63,246733500
AMZN,11/1/2000,35.81,40.88,22.13,24.69,24.69,159338900
AMZN,12/1/2000,24.94,27.63,14.88,15.56,15.56,202112900
AMZN,1/1/2001,15.81,22.38,13.56,17.31,17.31,210486800
AMZN,2/1/2001,17.19,17.19,9.94,10.19,10.19,167374100
AMZN,3/1/2001,9.88,14.00,9.56,10.23,10.23,167635900
AMZN,4/1/2001,10.33,18.16,8.10,15.78,15.78,189780400
AMZN,5/1/2001,15.90,17.60,13.10,16.69,16.69,144686700
